,user_id,actual,recommendations
13,19,"[  944486  9835960   841220   962229   999104  1027068  1044078  1062863
  1063577  1082185  1101173  1121360 12349795 12810422 12946027 13876901
 15926844   880969   837751   882604  1029743  1104898   868909   965766
  1106523  6632589   823704   840227   844179   874972   899624   979707
  1042438  1132789  5568197  5568378 13871141   832678   846764   871611
   871756   882190   893018   898068   936117   949965   951190  1009770
  1042907  1070702  1123842  6463775  7441419 13003092]","[12810393, 1044078, 916122, 844179, 1029743]"
14,20,"[  929018  1002850  1016274  1075368  1126899 10149303   910109   941532
   944836   945611   995965  1016709 12301073   897954  5592931  1075032
  1086740  1055425   901772   908283   911614   944454]","[1126899, 1075368, 916993, 6514259, 8090536]"
15,21,"[10344586   820291   834117   940731   947798   981103  1007210  1042907
  1043837  1049735  1094308  1123842  6463717  6463775  6979579  9419525]","[1106523, 1029743, 1044078, 999779, 5585510]"
16,22,"[  995965   827656   956599   972445  1048257  1082185 12301051   854852
   859427   944836  1043837   888275   897270   909002   992986  1070820
  1097761 16729299   929363  1048272]","[1070820, 901062, 883003, 1082185, 857503]"
17,23,[  957411  1034176 12648296   913038],"[1075368, 1029743, 1005274, 1034176, 849202]"
18,24,"[9835619  833866  866211 1082185  844462  898068 1055168 1094308 1101104
 5568378 5569327 9707240  873474 1106523 1110244  914318]","[1016800, 1106523, 926905, 1029743, 5587656]"
19,25,"[  885863   929018   983665  1043751  8090521 12427353 13008065   823704
   844179   904574  1131321  1135476]","[1029743, 844179, 1106523, 1112238, 5568378]"
20,26,"[ 871061 1081262  834158  859426  906838  960791 1028422 1036297 1081177
 1095374  960075 1130877 9832070  990797 1050851]","[9296919, 5585510, 1029743, 854405, 978129]"
21,27,"[ 9245108  1082185  9297106  9419470   923654   949965  1014388   867709
  1058709   963686  1118264   986912 12599756]","[1102416, 1051323, 911017, 1098284, 1118264]"
22,28,[ 878996  897493  948670 1003799  921836  974177 1005493 6979415],"[940947, 1112238, 892531, 1035676, 992730]"
23,31,"[  819978   866211   898847   916122   948650  1040867  1054483  1056492
  1082185  1098844  1126899   897922   885863   984957  1070820  1082141
  1086727  1097280  6034857  6463727  1082990   860248   863447   933835
  1004906  1040807  1070702  1135476  5569230  7166865 12487888]","[1062128, 1040807, 1029743, 5569230, 866211]"
24,32,[ 843111  992986 1051046],"[878996, 1105488, 8293447, 854852, 901062]"
25,33,[ 836445  871756 1081177 5572738 5590613 5590695 5592094 5981267 8357613],"[1106523, 1029743, 1038663, 8090537, 986912]"
26,34,[ 993638 1101010],"[993638, 1081177, 1029743, 986912, 1070702]"
27,36,"[1029743 1084310  891752  866211  909714  962229  865233  871061  879699
  901062  912451  913144  916122 1062002 1067779 1079023 1082185]","[1029743, 866211, 857503, 5585510, 1044078]"
28,37,[1014458 1101980 1122358 1067695 1097001],"[1106523, 1097001, 1067695, 1029743, 8090537]"
29,39,"[  825365   923789   930918   949784   954673  6039592  6602697  8090440
 13008321   843898   893018   957164   971807  1038214  1073086  1101104
  1121656  1127716  1132036  7410336  8276172 12781828 12782182 15830972]","[866211, 1127716, 1126899, 944836, 857503]"
30,40,"[ 906883 1083043 1117824 1133850 7409845 1090587 9833335  825365 1072523
 1082185 1137694  916122 8118506  843891  928263  939636 1016782 1037863
 1135476 5585510 5591777  913210 1112205  845208  957013]","[916122, 878996, 6034857, 897954, 1083043]"
31,41,"[  843418   845307   865705   909714   913210   985160  1082185  6961848
  9419888   847139  1016210  5565784  5585510  9707340 13072944   874972
   982360  1120009 12810393 12985761 15926507]","[866211, 874972, 909714, 913210, 12810393]"
32,42,"[ 839656  916122 1031087 1082185 1098910  829621  835296  874972 1112766
 5995177 6602697 9926758  827578 1089568  963686  965766 1029743 1120839]","[839656, 946839, 916122, 6602697, 1050851]"
33,46,"[  878996  1029743   862335  1082185  1082212   821209   822524   834572
   836445   838867   850139   871337   883932   884896   901396   920155
   942525   960732   981660   988202   999104  1003799  1004906  1034886
  1042438  1051989  1068719  1075275  1089225  1106271  1108094  1109136
  1109249  1120361  1128244  1135573  5568721  5572738  6463752  6464074
  7409969  8090532  8090537  9419487 10143885   837569   866211   882247]","[866211, 1029743, 1127831, 5569845, 878996]"
34,47,[ 9487606  9677366  6553438 12330376  8119318],"[999858, 6534077, 6533681, 963727, 859427]"
35,49,"[  825365   926206  1028715  1050482  1073775  1074333  1129610  1138677
  1139569   990256  1000753  1030182  1053282  1093697  1103691 12301338
   839243   859191   895295   916122   959272   970455  1027168  1039927
  6602697 12384953 12731432]","[5569471, 844179, 8090532, 1029743, 1070820]"
36,50,"[  835058   865992   907631   912739   962229   965766   999090  1016863
  1027068  1029743  1073775  1126895  6633224  6633273  9655528 12949855]","[849202, 1106523, 910473, 5569230, 838186]"
37,51,"[ 867469  880427  887661 1004906 1029743 1070272 1072523 1082185 1119761
 7410344]","[1028995, 1029743, 971922, 13115501, 902172]"
38,52,"[  889223   898847   995505  1030182  1072437  1076161  1082185  1093113
  1106523  1115553  5564901 13382073   832678   843346   909972   937403
   851528  5569230]","[1029743, 5569230, 857503, 879280, 1060408]"
39,53,"[  820291   825882   839419   859427   897837   906883   927382  1082185
  1087102  1099802  6034857 13906641   844179   884039   939546   991465
  1097418  5569471]","[5569471, 6034857, 839419, 999858, 854405]"
40,55,"[  990797  1097280   883932 13007355 13008334 15926844   899624  1077373
  1082185  8205252  8249513 12810422]","[986912, 1106091, 883932, 1097280, 1115800]"
41,56,"[  825541   891415   963835   979707  1082185 13944905   899624   900586
  1037863   949294   844179   878636   911974   990797  5569230  9333734
  1022097  1119634  1123101   922561  1132231  5568729  9803545   848029
   848471   852856   892978   929341   949965   967994   991223  1092937
  6034857 12810389   873627   904997  1130581  6463729  6464165]","[963835, 13115501, 940947, 6533608, 5568072]"
42,57,"[ 965766 9297062  854852  915874  961447 9487606 1011141 1065871  979707
 9676866]","[1106523, 986912, 1029743, 8090537, 916122]"
43,58,"[  819927   876948   900586   953243   957013   960732   979707   982955
  1006184  1055425  1088387  1092120  1103377  6463727  9420140 10344718
 13039578   934399  1070820  1082185   977780   984957  1048068  1101437
   901062   901666  5578547   897125   915493   916758   995151  1135258
  1135476  9268695  9446216 10457044]","[1127831, 6034857, 5569471, 916122, 944836]"
44,59,[  826385   857981   865456   899624   937928 10150194 10180324],"[1106523, 866211, 1056509, 957951, 6034857]"
45,63,[7431408],"[1106523, 1029743, 1062572, 878996, 986912]"
46,64,"[ 7147142  7152455   872146  7147145   999270   901460  1036699 13841744
  1004906   982469   839419]","[1013928, 1106523, 836445, 7147145, 1004906]"
47,65,[  986912   965766  5568378  7168286 12781564],"[1029743, 986912, 1070820, 902172, 5569230]"
48,67,"[ 1025650   859075   947326   965530  1004945  1033372  1082185  1115576
 16729415   971922   823721   866211   949965   983316  1004906  1022254
  1024731  1054483  1068719  1104414  1118946  1126979  1127328  5564876
   856060   867020   926905  1074754   942525 10344714 10344718   903350
   907418   940766   965766  1069897  1075470  1110244  7167963   904236
   826385   835098   843206  1042907 12810391   878996   951590   985999
  1135476]","[971922, 933835, 866211, 999198, 5569845]"
49,68,"[ 1101010   947798   959272  1004906  1044078  1075470  9677748   831509
   901460   949965   951590  1051211  1110244  5568378 12302069   896974
   898068   944852  1020604 15926927   897125   901067  1082990   825289
   856252  1012587]","[1029743, 1004906, 5569230, 844179, 1106523]"
50,69,"[ 842707  953180  983316 1043663 1069538 1106523  983659 1044188 5565612
  951590  956486  960253 1064574  844179  979452 5574409  823990  972143
  987410  990656 1037863 1044078 1068719 1079987 1099905 1101173 5568721
 9835408]","[836445, 871756, 1044078, 856827, 910673]"
51,71,"[  916122   926905  1016800  1056509  1068719  9364612 13841744   859075
   865511   899624   919126  1008288  1082185  1101010  8019186   965766
  1099510  1119860  6553398  8118675  9483647]","[1044078, 844179, 1016800, 1029743, 1056509]"
52,77,"[  829323   854405   859075   865511   873964   879506   880150   893018
   917033   948832   954347   955921   972969  1022097  1072693  1074754
  1082185  1106523  1109136  1126899  1137010  7410348 13381584   829950
   843898   857276   879977   901062   916122   966348   978077  1012899
  1014948  1060408  1089025  1091410  1101502  1108296  1127758  5569327
  7441102  9487885  1014458  1096635   857503   962229  1053730  1091520
  1103147  7168383]","[1126899, 866211, 1106523, 916122, 901062]"
53,78,"[  975649  9419470  1039627  1097280 12262992  6533681  1082185 13115938
  9297055 13775274  1104349]","[1082185, 1106523, 835098, 1039627, 8090440]"
54,79,"[ 9707077   897954   871756   921504   960732  1070845  7441498 12130522
 13213604 15926886]","[5569230, 1070820, 5569471, 8090440, 916122]"
55,80,"[ 1026550   842707   854042   854900   867020   896027   953180  1065871
  1121360  1130458  6553398 13512837   901062   986912  9926758]","[878996, 1029743, 1105488, 1023720, 993638]"
56,81,[1076769 1000050],"[1044078, 844179, 1029743, 1106523, 910673]"
57,82,[ 1119761 12731299   917816 12599756],"[831628, 1000753, 849202, 5569230, 1119761]"
58,83,[1075214],"[1106523, 1029743, 852856, 1127831, 1081177]"
59,84,[5565369],"[1029743, 1106523, 852856, 829722, 5569471]"
60,85,"[  939770  1076056  1079987 13007986   819840   829852   859075  1097280
 14106445 16100266  1139782   904521   822226   891463  6463727]","[986912, 1021519, 916122, 8203834, 885863]"
61,86,[ 951590  971922 1101010 1106523],"[854852, 865026, 1029743, 8090537, 8090521]"
62,87,[1079528 8293385],"[1029743, 878996, 1106523, 1060705, 1127831]"
63,88,"[  900175  1092264   831063   834117   860167   863030   878996   893018
   916993   930603   933835   942278   947201  1081177  1082185  1089025
  6034857  8090521  9881593 12384775 13007434 13115914  1043663  1070820
   857503 10285005   847186   913210   832678   939636   984575  1017772
  1051211  1068561  1116770  1131490  1135476  5565925  9420181  9523058
 12810393   839192   917543  1069538   849100   852145   872762   884039
  6534578  9836752]","[8090537, 12301405, 1137346, 844179, 1029743]"
64,90,"[  852856   862535   879393   923149   923789   954673  1022097  1036347
  1041796  1070820  1082185  6424464  6464166 12524365]","[1070820, 1029743, 986912, 1135552, 6464166]"
65,91,[1029743  845622  851394 1024871],"[1029743, 916122, 1106523, 1000148, 989275]"
66,92,[ 880150 1080853 5568721],"[930118, 878996, 845208, 1127831, 838186]"
67,94,"[ 1014116  1076580  1082185   866211   878996   883940  9925966   979707
 12130522]","[823862, 999250, 961979, 1044078, 854852]"
68,95,"[  887428  1028705  1090587   841220   842140   849018   922561  1018740
  1041796  1051283  1082185  1088771  1128812  6534035  8090519   935646
   979707  1085357  1014948   823704   835279   910673   981086  1042907
  1068561  1078100  1123842 12949590]","[844179, 823704, 1043751, 1029743, 1018740]"
69,97,"[  844179  1075368   831063   867389   912620   952408   954347  1000736
  1016276  1082185  1083111  1137775 15926886   870547  1016800  1042907
  1089025  1099164  1122358  7441102]","[976199, 844179, 1075368, 999858, 1106523]"
70,98,"[ 905942  921836 1001827  866211 6554188 8019681 9673980  847241 5568197
 1091858]","[1106523, 854852, 1091858, 844179, 1128240]"
71,99,"[  969568   863885   866211   873324   916487   916993   940947   945294
   956200   964968   983897   992151   995628  1076056  1082185  1085031
  1104481  1117556  5568378  5587656  5591103  9677109  9836460 10457044
 10457237 12782182 15830972  7024927  7025202  1121360]","[866211, 5592610, 5590613, 1029743, 1023720]"
72,100,"[  851287   863762   867020   891752   907631   920025   985999  1034838
  1080472  1089225  1111786  1116096  1118235  5568197 12810393]","[916122, 1029743, 849202, 1012587, 1099164]"
73,101,"[ 1042616  1106523   897954   899624   916122   951855   970605  1056509
  1081177  1082185 12731432  8090509  8090521  6463717]","[1106523, 5569845, 5569230, 899624, 8090537]"
74,103,[7409845],"[1106523, 1029743, 1044078, 899624, 866211]"
75,104,"[ 1036347  5564526   835098   837751   838186   842140   854852   885406
   901062   904236   906335   907418   907631   908064   919534   921504
   933835   937406   940766   955587   962991   965766   979707   982790
   995896  1008324  1016709  1027168  1039464  1042438  1044078  1062002
  1067749  1069506  1075470  1081919  1082185  1101502  1103902  1109948
  1131321  1132771  1139493  5568378  5569327  7025250  9445671  9831469
  9837065 16770156 16809649  1074333  1123022  6034857 13007434   866211
   871563  1029313  1043751  1054262  1069003  8069230  8090509  8090536
  8090537   963971]","[1029743, 933835, 5569230, 854852, 965267]"
76,105,"[  831712   852572  1131047   831509   906838   965766  1122568  5570408
  6632589  1082185   981086  1123842  5569327   849003   960253 10204556
 13008412   845208   923673]","[1044078, 12810393, 854405, 1043751, 831628]"
77,106,"[ 890610  965842 1005274 1092303 6534074  844179  870515  901666  916122
  953713  982955 1005456 1026118 1093413 8090521 1043301 8011291]","[5569230, 8090521, 1029743, 854852, 1121393]"
78,107,[1037840],"[5569230, 1106523, 8090521, 1029743, 8090537]"
79,109,"[  859427   916122   919535   951412  1055504  1082185  1093571  1106601
  1111986   903443   999858  1026118  6464166 10285335 13512837   979707
  1046756 12301100]","[862682, 1101706, 856215, 10285335, 866211]"
80,110,"[  845208   859075  1021715  1044078  1073546  1127758  9836460 12946027
  1104649   951590  1106523]","[1044078, 1106523, 878996, 5585510, 871756]"
81,111,[ 6602327  8090536 12811532],"[1106523, 6633273, 1029743, 1044078, 9677874]"
82,112,[ 909972 7168026],"[1029743, 1106523, 852856, 7139529, 5569230]"
83,113,"[  947427   999104  1018769  1070820   822049   839419   845208   872137
   890344   950463  1018339  1036262  1044759  1047076  1067749  1075214
  1084613  1104205  1107973  6034857  6553237  8019628  9836460   907099
 10344586 15926886   837644   838867   844179   904236  1014948  1031864
  1068504  1075536  1089766  1119112  6979518  7025204  7410348 16729299
   825365   844991   859427   878996   901062   909811   913210   993698
  1001277  1015597  1026118  1056620  1082185  1098485  1113274  1123842
  6463727  7410071]","[866211, 854852, 1070820, 854754, 859427]"
84,114,"[  859010   925425   945611  1107973  1119993  5568489   948953   949684
  1018151  1029743  1044078  1116096  1132814  7025203  9527325  7167687
 10150194 15926775]","[5568489, 1029743, 1044078, 1106523, 948670]"
85,115,"[  851287   862854   883819   890909   903350   912451   973086  1007259
  1031447  1038721  1089954  1110721  1132198  1133312  5567605  7147142
  9527159 12301109   830615   836286   861279   867931   913210   944929
   947858   989275   991874  1016421  1027168  1069522  1117556  1138854
  7152889  9827666 12523757 12731583 12731714 13213567   918598   968759
   973890  1021519]","[866211, 1128016, 6034857, 5568378, 892531]"
86,116,[1037863],"[5569230, 5569471, 1044078, 1106523, 871611]"
87,117,"[ 962229 1004390 1082185 1101175 1101932  928589  942151  995598 1011427
 1019643 7167836]","[944534, 854852, 5569230, 916122, 878996]"
88,118,"[  845208   850562   893018   898867  1006184  1023196  1030182  1082185
  1087755  1135476  6772859  9524291  9803601 12132513]","[893018, 1127831, 1006184, 8273950, 851287]"
89,119,"[ 872066  960732 1131488  879280  881853  940947 9526628 1019078 1023466
 1082185]","[1029743, 878996, 1112238, 986912, 866211]"
90,121,"[  835098   856060   863447   868909   880895   901666   936741  1035676
  1055168  5567169  8090537 13512017 15926887]","[1044078, 1029743, 844179, 1004906, 999270]"
91,122,[1035676 9419525],"[5569230, 940947, 1106523, 1070702, 6464147]"
92,123,[ 1029743   890610   852080  8090541  1128240  1004906  8090509 12301405],"[844179, 1070702, 12810393, 5569230, 831628]"
93,124,[1035676  844179],"[1106523, 1037840, 5569230, 892531, 1115175]"
94,125,"[ 1131321   916122   921504   994685  1087102  1088462  6034991  9884484
 15737492  7442056 14106445   913210   951071 12987975 12988031   824193
   844179   856252   866211   933913   936117   971922  8090513  8090521
  8090532  8090537   929730   999104  1033046  1084796  5585510 12385477
   892531  1012701  1027039  1036262  1113438]","[1029743, 8090532, 8090537, 883003, 5568378]"
95,126,[  898068   962185  1019247 12781558],"[1029743, 933067, 837751, 917816, 1044078]"
96,127,"[  913210  1075368   861279   865456  1044078  1004906   991268  1082185
  1135476  1054262  1122568  5570408  9333734   844179  1012587  1026292
  1048849  5568378  5585510  8249559 12810393]","[865456, 844179, 1029743, 899624, 1106523]"
97,128,"[ 847241 1082185  833866  878285  901062 1029743 1044188 1051516 1091520
  866211  928146  963868 1026118 9420337]","[878996, 1105488, 1029743, 1082185, 1023720]"
98,131,"[ 903609  942778 1026209 1048068 1075214 1082185 1117602  934156  990656
  992986]","[1029743, 1044078, 8090537, 935317, 893018]"
99,132,[ 854852  866211  999198 1060673 1082185 1126899 1139216 9926758],"[854852, 6034857, 1050851, 878996, 916122]"
100,133,"[  826597   863632   866211   887102   912147   979707  1006342  1024319
  1081177  1082185  1117514  1135476  5582712  6513604  6513713  6514160
  9836460 12385624   830503   870515]","[1029743, 5569230, 916122, 9242918, 951412]"
101,134,"[ 862682  838186  862335  913210  940090 5592931 6533362 7167837 8090508
 9419443]","[5569230, 5569845, 834117, 8090537, 999270]"
102,135,[  852360   879876 13115813],"[1106523, 885863, 1099089, 898121, 959455]"
103,136,"[1002499 1032512 9552971  865511  899624  972931 1038462 1116589 1139493
 8090521 8090537]","[8090521, 899624, 5569230, 8090509, 8090537]"
104,138,[ 965041 5569230 9836106],"[5569230, 878996, 1087102, 899624, 5590613]"
105,139,"[ 1052729  1082185  1134738  6979393  6979545  8090532  8090537  9575582
   976199  5569230  5569471  6034780  9673830  1069047  1134006 12262830]","[1057102, 8090532, 866211, 6034857, 8090537]"
106,140,[ 832678  892531 5591083],"[8090521, 8090537, 1106523, 1137346, 1037840]"
107,141,[1121808  831407],"[866871, 854852, 1023720, 878996, 1029743]"
108,142,"[  838186  1013826  1082212 15452729   997011  1012315  1056778   891118
  1124342   944256   990797  9469110]","[1082212, 1106523, 1131438, 5568378, 997011]"
109,143,[ 896862  978077  999270 1106523 8357613  965766 1127758],"[5569230, 1106523, 844179, 1029743, 5569845]"
110,146,[ 845163  893867  905636 1109948 1127470],"[878996, 1029743, 857006, 1068292, 925862]"
111,151,[1005456 1035143 1130375  863632  963365 5568197 5569230 5569845],"[916122, 897954, 976199, 878996, 1106523]"
112,153,[ 879393  889863 1062128 1110857  912280 1072523 1093113],"[1106523, 916122, 897954, 1029743, 984575]"
113,156,[ 976214 5567502  865456  835098  990797 1030981],"[1029743, 878996, 866211, 5569230, 1024306]"
114,157,[ 826571  865392  916122  928932  948832 1083446 1126899],"[1029743, 838186, 1106523, 834117, 847207]"
115,158,[ 1010590  1035321  1082185   834826   997423 10149640 12731714],"[1128240, 1106523, 12731714, 1135258, 871611]"
116,159,[1004906 1082185 1087102 1050851],"[5592931, 1106523, 1127758, 1004906, 866211]"
117,160,"[  899019  1101010   900586   960253   892531   945662   972515  1020962
  1031447  1082185  1112667  1135476  6034857  6391534  7168759  9827666
 12781564]","[986912, 1106523, 1135834, 865456, 933835]"
118,161,"[  901344   835098   843464   916122  1056509  7139529 12352054   822226
   917384   990797  1050851  1051323   892503   935527   941910 13841744
   868683   872342   892314   951561  1024998  1103691   825343   834117
   911388   946839  1071733  1085357  9677581   957063   979707  5568378
  6463742   825365   844179   920900 10355376   871756]","[5568378, 1051323, 1068719, 916122, 844179]"
119,162,"[  830245   856345   948381   954545   987044   989275   998444  1059823
  1117219  1122358  1036093  1109136   894447   916122   964521   984575
  1070820  1120928 13115501]","[1029743, 1122358, 964521, 5569230, 1034176]"
120,164,"[  839419   885863   905353   912739   914577  1082185 13189726   839162
   843911   888054   908283   956284  1029743  1040812  5592931  8019748
 14077333   822259   917427  1095587  1139569]","[1029743, 1106523, 1081177, 1044078, 871611]"
121,166,"[ 841220  844179  934172  951590  982112 1022827 1029743 1043751 1082185
 1117690 8019921 9488065 1023196 1029964 1096635 6904613 8020044]","[1029743, 1106523, 1075368, 5569230, 5568378]"
122,167,[ 953180  983316 1042765 1085435 6602447],"[1029743, 5569230, 1106523, 878996, 862799]"
123,168,[ 878996  921504 1004906 1029743 1082185],"[1029743, 1106523, 878996, 1081177, 882247]"
124,169,[ 1099164 12757316],"[1099164, 852856, 1016800, 926905, 944139]"
125,171,[  907625   933354 15737492],"[1029743, 1044078, 1004906, 1106523, 899624]"
126,172,[1044500],"[5569230, 823704, 1106523, 829722, 1118046]"
127,174,"[ 825343  900586  946995  951590 1022097 1027168 1050851 1051323 1061747
 1085983 1128016 5574409 6602440]","[1050851, 835098, 5569230, 1000753, 1020581]"
128,178,"[  963686   949023   951590  1106523 12301784 13876344   902172   927360
  1027090   832678  1037417  1040807  1110244 15972790   841365  1056847
  6553398  8118675   866043   940766  8090521  9297615]","[1029743, 8090521, 1106523, 1040807, 967461]"
129,184,"[  915064   916990   945662  9859082   851287   912817  1080472   848029
   998444  1082185 14077333]","[999858, 896085, 1075368, 844179, 5572234]"
130,185,"[  832678   870428   898068   964968   972931  1029743  1060673  1082185
  1101010  1128240  1130858 12301109 12810393   983584  1092937  5568197
  5569327  8090537  8119152 12301100]","[1029743, 844179, 8090537, 999858, 12810393]"
131,187,[  849202  1055155 15926775],"[983584, 1106523, 5569230, 910032, 1029743]"
132,190,[ 825365  922096 1079228],"[1029743, 1022097, 1106523, 5592888, 1134483]"
133,191,[1015474],"[1106523, 1029743, 925862, 5569230, 878996]"
134,192,"[ 887503 1002771 1002850 1101502 1127825 5569230 7441419 1056509 1094174
 1094190 1029743 1033142 1082212 9803601  866043  890344 5568197]","[1029743, 5569230, 1082212, 9835509, 866211]"
135,193,[ 831712  944139  998270 1106523 9420067 1117067 1134483],"[1029743, 983584, 8090537, 944139, 6704207]"
136,194,[1034956  838186 1051468  825541  845208 1025650 1082185],"[878996, 854852, 951412, 6391381, 1106523]"
137,195,"[  892768   903350   907993   948650  1022254  1080784  1082185  1114435
  7167836  9420067 10344714 12262830 12672980   859075   916122   955587
  1042765  1071343  7409997  9884484]","[878996, 1029743, 1022254, 865456, 986912]"
138,196,[970747],"[916122, 1044078, 874972, 1000753, 5569230]"
139,197,[ 838186 1126899 7462562],"[1126899, 838186, 963835, 9881593, 892531]"
140,198,"[  979022   994685  1106523  1122568   841220   844179   848029   861279
   873627   899624  1024731  1029743  1075368  1082185  1123146  5570383
  6463729  6463826  8090537  8090653   836445   865456   880150   903609
   907099   965842   995965  1012587  1027168  1067779  1107373  1135476
  5574409  5578437  6034780  8090509  8090521  9521787  9677874 12810464]","[1044078, 899624, 844179, 831628, 1106523]"
141,199,[9523058],"[1029743, 1106523, 5569376, 1132948, 878996]"
142,200,[848878],"[1106523, 1029743, 5568378, 983584, 1081177]"
143,201,"[ 941532 1014458 1103476 5567502 5568378  989069  999270 1138292 5569327
  991223 6034857  844179]","[6034857, 838186, 1106523, 899624, 1138292]"
144,202,"[  829291   847790   897954   902094   916122   944534   983897   995896
   999198   999779  1013389  1019247  1043730  1050482  1068561  1086740
  1126895  1137346 12262830 12692332 12731701 13003092]","[1029743, 8090521, 1106523, 8090537, 5569230]"
145,203,[1029743 5569471  948384 1056778],"[1029743, 5569471, 1070820, 1008547, 1004906]"
146,204,[  921504 15926844  5564906   961792  1036347  5569230],"[6034857, 1029743, 852856, 878996, 1106523]"
147,205,"[  871188   902094   904574  1004945  1072523  1106523  1109948   833866
   910032   917816   928146   933354   937573   949965   967948   969866
   983016  1038692  1038745  1082185  1084036  9420140 12731621   906625
 13877192   837865   908504   957736   969836  1021324  1051516  1053924
  1135476  1137688 12731571 13003100]","[1106523, 1026118, 1082185, 1072523, 1029743]"
148,208,"[  830304   919534  1017772  1037863  1082185 14077333   879504   916122
   951590   999270  1055425  1075214   880150   883932   885290   951190
   965766   979707  1131321]","[865456, 899624, 880150, 916122, 921504]"
149,209,"[ 1091865   951164 12484491 15926887   819978   822524   825343   837304
   842125   845208   892531   899624   930283   964462   972235   999198
  1029743  1068719  1118757  1130666  1132771  8090532  8090537  8090549
  8357613  9333734  9338009  9673980  9677861 12301839]","[1029743, 844179, 5585510, 1044078, 1046545]"
150,210,"[  870195   910473   999779  1082185  1128240  9523058  1106523  1130458
  9296957  1018151   845265   863447   987311  1051516 12262778 12301338
 12810393]","[1000753, 844179, 1004906, 1106523, 1068292]"
151,211,"[ 962229  847962  998444 1006878  832678 1105301 1115098  987734  996259
 1004390]","[854852, 925862, 1045586, 12301109, 883932]"
152,212,[ 964462 1087547 1056509],"[866211, 1029743, 1127831, 865456, 5585510]"
153,213,[ 847434  971962 1000753],"[854405, 1106523, 844179, 1044078, 1029743]"
154,214,"[  833724   901062   929730  1047769  1082185  1131634  6979526 12781828
 12782182   849100   944836  1010590  1019643  1026292  6632589  1046816
  1105478  6633273]","[1019643, 6633273, 916758, 901062, 833724]"
155,215,[6391089  916122  916993 9526278 1020623 1082185],"[871611, 1121393, 938300, 948650, 6391089]"
156,216,[ 974204 6533936],"[986912, 6533936, 974156, 1087102, 878996]"
157,217,"[ 858514  895930  899624  916122  919534  922127  925694  951590  995598
  996087 1000753 1043751 1082185 1118757 1132789 1081533 1110244 5570408
  823704  844179  845975  847790  854496  865456  925178  973086 1046756
 1060831]","[986912, 5569230, 916122, 1040807, 1070702]"
158,218,"[  851569   866540   894439   895295   909714   911388   969725   970455
   993430   999714  1029743  1036930  1041796  1053924  1074333  1077133
  1139525 12301839]","[894439, 1097001, 965772, 882190, 965267]"
